Period,Scenario,LoadLevel,Area,Node,Technology,GWh
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,Coal,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,Gas,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,Nuclear,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,Oil,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,Solar,2.77790163939
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,Wind,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,Coal,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,Gas,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,Nuclear,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,Oil,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,Solar,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,Wind,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,ENS,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,EnergyDemand,-9.278603361
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,PowerFlowOut,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_101,PowerFlowIn,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,Coal,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,Gas,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,Nuclear,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,Oil,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,Solar,1.54900262187
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,Wind,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,Coal,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,Gas,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,Nuclear,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,Oil,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,Solar,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,Wind,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,ENS,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,EnergyDemand,-7.3158012639
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,PowerFlowOut,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_102,PowerFlowIn,2.934143587103556
2030,sc01,01-14 15:00:00+01:00,Area_11,N_103,Coal,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_103,Gas,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_103,Nuclear,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_103,Oil,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_103,Solar,0.0
2030,sc01,01-14 15:00:00+01:00,Area_11,N_103,Wind,0.0
