Period,Scenario,LoadLevel,Unit,GWh
2030,sc01,01-28 22:00:00+01:00,CT NG 56,0.0
2030,sc01,01-28 22:00:00+01:00,Solar 60,0.0
2030,sc01,01-28 22:00:00+01:00,Solar 04,0.0
2030,sc01,01-28 22:00:00+01:00,Solar 37,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 44,0.0
2030,sc01,01-28 22:00:00+01:00,Hydro 43,1.1733255
2030,sc01,01-28 22:00:00+01:00,Solar 63,0.0
2030,sc01,01-28 22:00:00+01:00,CT Oil 04,0.0
2030,sc01,01-28 22:00:00+01:00,ST Other 02,0.0
2030,sc01,01-28 22:00:00+01:00,Solar 68,0.0
2030,sc01,01-28 22:00:00+01:00,Solar 28,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 69,0.0
2030,sc01,01-28 22:00:00+01:00,Solar 75,0.0
2030,sc01,01-28 22:00:00+01:00,Wind 06,3.8753525714999997
2030,sc01,01-28 22:00:00+01:00,CT NG 35,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 71,0.0
2030,sc01,01-30 08:00:00+01:00,Wind N05,46.626578949000006
2030,sc01,01-30 08:00:00+01:00,Wind 11,1.4358618146500002
2030,sc01,01-30 08:00:00+01:00,Solar 32,1.1100255364350002
2030,sc01,01-30 08:00:00+01:00,CC NG 15,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 53,0.0
2030,sc01,01-30 08:00:00+01:00,Hydro 22,2.7845053500000003
2030,sc01,01-30 08:00:00+01:00,Wind N07,74.16461421703345
2030,sc01,01-30 08:00:00+01:00,CT NG 07,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 18,68.83589500000001
2030,sc01,01-30 08:00:00+01:00,Wind 09,1.4358618146500002
2030,sc01,01-30 08:00:00+01:00,Solar 09,0.081990159995
2030,sc01,01-30 08:00:00+01:00,Solar 40,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 42,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 14,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 21,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 04,3.876336455424862
2030,sc01,01-30 08:00:00+01:00,CT NG 26,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 56,0.1280577831
2030,sc01,01-30 08:00:00+01:00,Wind 02,13.5337146135
2030,sc01,01-30 08:00:00+01:00,CC NG 12,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 51,0.099855720265
2030,sc01,01-30 08:00:00+01:00,CC NG 29,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 29,0.0
2030,sc01,01-30 08:00:00+01:00,Wind 12,22.5168216925
2030,sc01,01-30 08:00:00+01:00,Solar 38,0.12761114403
2030,sc01,01-30 08:00:00+01:00,ST Coal 01,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 13,0.0
2030,sc01,01-30 08:00:00+01:00,Wind 03,3.56150384475
2030,sc01,01-30 08:00:00+01:00,Solar 16,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 34,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 71,4.9053687
2030,sc01,01-30 08:00:00+01:00,CC NG 39,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 04,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 52,0.067889128635
2030,sc01,01-30 08:00:00+01:00,Solar 33,0.84223355069
2030,sc01,01-30 08:00:00+01:00,Solar 35,0.287125074125
2030,sc01,01-30 08:00:00+01:00,Hydro 23,84.54842550000001
2030,sc01,01-30 08:00:00+01:00,Solar 48,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 05,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 05,0.0
2030,sc01,01-30 08:00:00+01:00,Wind 08,1.4358618146500002
2030,sc01,01-30 08:00:00+01:00,CT NG 70,4.9053687
2030,sc01,01-30 08:00:00+01:00,CC NG 17,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 08,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 47,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 02,0.0
2030,sc01,01-30 08:00:00+01:00,Hydro 19,1.5995925
2030,sc01,01-30 08:00:00+01:00,Solar 64,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 20,0.0
2030,sc01,01-30 08:00:00+01:00,Wind N09,6.8839907189
2030,sc01,01-30 08:00:00+01:00,CT Oil 01,0.0
2030,sc01,01-30 08:00:00+01:00,ST NG 02,0.0
2030,sc01,01-30 08:00:00+01:00,Geo 01,1.84
2030,sc01,01-30 08:00:00+01:00,Hydro 21,2.7845053500000003
2030,sc01,01-30 08:00:00+01:00,Wind 13,13.556281374
2030,sc01,01-30 08:00:00+01:00,CT NG 11,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 50,5.5672926
2030,sc01,01-30 08:00:00+01:00,CC NG 26,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 49,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 30,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 45,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 43,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 50,0.029924813320000004
2030,sc01,01-30 08:00:00+01:00,Hydro 41,0.28503164
2030,sc01,01-30 08:00:00+01:00,Hydro 25,0.9252554999999999
2030,sc01,01-30 08:00:00+01:00,Solar 44,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 42,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 01,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 39,0.0
2030,sc01,01-30 08:00:00+01:00,Wind 04,1.7807519218
2030,sc01,01-30 08:00:00+01:00,Wind 01,4.095729420600001
2030,sc01,01-30 08:00:00+01:00,CT NG 23,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 53,0.102663165355
2030,sc01,01-30 08:00:00+01:00,CC NG 32,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 58,0.0511082632
2030,sc01,01-30 08:00:00+01:00,Solar 65,0.0
2030,sc01,01-30 08:00:00+01:00,Hydro 40,0.493557
2030,sc01,01-30 08:00:00+01:00,Wind N02,12.299064091
2030,sc01,01-30 08:00:00+01:00,CT NG 25,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 01,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 36,11.1435
2030,sc01,01-30 08:00:00+01:00,Hydro 26,0.9252554999999999
2030,sc01,01-30 08:00:00+01:00,Wind N01,25.641670623499998
2030,sc01,01-30 08:00:00+01:00,Solar 24,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 34,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 70,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 46,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 03,1.1862703859000001
2030,sc01,01-30 08:00:00+01:00,CT NG 54,0.0
2030,sc01,01-30 08:00:00+01:00,Hydro 33,126.64560150000001
2030,sc01,01-30 08:00:00+01:00,Solar 67,1.43534814415
2030,sc01,01-30 08:00:00+01:00,ST NG 05,6.983029999999999
2030,sc01,01-30 08:00:00+01:00,ST NG 08,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 37,70.72638
2030,sc01,01-30 08:00:00+01:00,Solar 66,4.431637394100001
2030,sc01,01-30 08:00:00+01:00,Wind 17,63.710056419
2030,sc01,01-30 08:00:00+01:00,CT NG 22,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 62,4.6330672127
2030,sc01,01-30 08:00:00+01:00,CT Oil 05,0.0
2030,sc01,01-30 08:00:00+01:00,ST NG 10,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 21,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 67,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 01,0.595593111985
2030,sc01,01-30 08:00:00+01:00,Solar 11,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 31,0.740336052115
2030,sc01,01-30 08:00:00+01:00,CC NG 31,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 17,0.0
2030,sc01,01-30 08:00:00+01:00,Wind N10,3.6092307687000003
2030,sc01,01-30 08:00:00+01:00,Solar 34,4.4854629486
2030,sc01,01-30 08:00:00+01:00,Solar 08,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 08,1.5902314999999998
2030,sc01,01-30 08:00:00+01:00,Wind N06,39.85847274416972
2030,sc01,01-30 08:00:00+01:00,CT NG 43,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 45,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 16,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 24,74.7631215
2030,sc01,01-30 08:00:00+01:00,CT NG 10,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 61,0.09136278684
2030,sc01,01-30 08:00:00+01:00,Wind 14,178.39450348000003
2030,sc01,01-30 08:00:00+01:00,CC NG 03,14.1208109
2030,sc01,01-30 08:00:00+01:00,Hydro 28,127.06343100000001
2030,sc01,01-30 08:00:00+01:00,Wind N08,43.612300126
2030,sc01,01-30 08:00:00+01:00,ST NG 04,6.983029999999999
2030,sc01,01-30 08:00:00+01:00,CC NG 09,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 16,104.9219175
2030,sc01,01-30 08:00:00+01:00,Solar 73,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 36,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 33,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 26,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 52,0.0
2030,sc01,01-30 08:00:00+01:00,CT Oil 02,0.0
2030,sc01,01-30 08:00:00+01:00,Hydro 42,0.28503164
2030,sc01,01-30 08:00:00+01:00,Wind N03,12.299064091
2030,sc01,01-30 08:00:00+01:00,Wind 10,1.4358618146500002
2030,sc01,01-30 08:00:00+01:00,Solar 69,0.784808535865
2030,sc01,01-30 08:00:00+01:00,CT NG 06,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 48,0.0
2030,sc01,01-30 08:00:00+01:00,Wind N04,25.090909093
2030,sc01,01-30 08:00:00+01:00,Hydro 34,126.64560150000001
2030,sc01,01-30 08:00:00+01:00,Solar 74,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 73,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 10,0.0
2030,sc01,01-30 08:00:00+01:00,Wind 15,21.307711175
2030,sc01,01-30 08:00:00+01:00,CT NG 68,1.6730210312256397
2030,sc01,01-30 08:00:00+01:00,CC NG 19,15.5687
2030,sc01,01-30 08:00:00+01:00,CC NG 10,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 28,20.183707499999997
2030,sc01,01-30 08:00:00+01:00,Solar 46,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 12,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 74,4.68027
2030,sc01,01-30 08:00:00+01:00,Hydro 20,2.7845053500000003
2030,sc01,01-30 08:00:00+01:00,ST NG 07,0.0
2030,sc01,01-30 08:00:00+01:00,ST NG 06,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 55,0.12767494959499998
2030,sc01,01-30 08:00:00+01:00,CT NG 15,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 22,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 14,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 40,83.52607549999999
2030,sc01,01-30 08:00:00+01:00,CC NG 06,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 22,75.374749
2030,sc01,01-30 08:00:00+01:00,CC NG 11,46.43444088160352
2030,sc01,01-30 08:00:00+01:00,Hydro 24,84.54842550000001
2030,sc01,01-30 08:00:00+01:00,Solar 30,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 06,0.04038892713
2030,sc01,01-30 08:00:00+01:00,Solar 12,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 27,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 59,0.5760029507650001
2030,sc01,01-30 08:00:00+01:00,CT Oil 03,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 20,0.0
2030,sc01,01-30 08:00:00+01:00,ST NG 03,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 25,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 14,0.0
2030,sc01,01-30 08:00:00+01:00,Wind 07,1.4358618146500002
2030,sc01,01-30 08:00:00+01:00,CC NG 38,10.920331000000001
2030,sc01,01-30 08:00:00+01:00,Solar 72,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 23,70.72638
2030,sc01,01-30 08:00:00+01:00,CT NG 41,6.01749
2030,sc01,01-30 08:00:00+01:00,CT NG 09,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 35,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 13,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 57,0.043643011290000006
2030,sc01,01-30 08:00:00+01:00,CT NG 55,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 15,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 41,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 07,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 72,0.0
2030,sc01,01-30 08:00:00+01:00,Wind 16,63.710056419
2030,sc01,01-30 08:00:00+01:00,CT NG 66,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 25,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 75,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 47,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 54,0.058701126240000005
2030,sc01,01-30 08:00:00+01:00,Hydro 27,0.9252554999999999
2030,sc01,01-30 08:00:00+01:00,Hydro 29,127.06343100000001
2030,sc01,01-30 08:00:00+01:00,Solar 18,0.0
2030,sc01,01-30 08:00:00+01:00,CC NG 21,0.0
2030,sc01,01-30 08:00:00+01:00,ST NG 01,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 28,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 24,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 36,4.6254093926
2030,sc01,01-30 08:00:00+01:00,CT NG 03,0.0
2030,sc01,01-30 08:00:00+01:00,ST NG 09,0.0
2030,sc01,01-30 08:00:00+01:00,Solar 02,0.0
2030,sc01,01-30 08:00:00+01:00,CT NG 56,5.2263015
2030,sc01,01-30 08:00:00+01:00,Solar 60,0.7369313115150001
2030,sc01,01-30 08:00:00+01:00,Solar 04,0.030945702475000007
