LoadLevel,Duration,Stage
01-01 00:00:00+01:00,0,sti161
01-01 01:00:00+01:00,0,sti161
01-01 02:00:00+01:00,0,sti279
01-01 03:00:00+01:00,0,sti186
01-01 04:00:00+01:00,0,sti186
01-01 05:00:00+01:00,1,sti186
01-01 06:00:00+01:00,0,sti186
01-01 07:00:00+01:00,0,sti186
01-01 08:00:00+01:00,0,sti727
01-01 09:00:00+01:00,1,sti694
01-01 10:00:00+01:00,1,sti613
01-01 11:00:00+01:00,0,sti227
01-01 12:00:00+01:00,0,sti227
01-01 13:00:00+01:00,0,sti227
01-01 14:00:00+01:00,1,sti227
01-01 15:00:00+01:00,0,sti227
01-01 16:00:00+01:00,0,sti50
01-01 17:00:00+01:00,1,sti839
01-01 18:00:00+01:00,0,sti501
01-01 19:00:00+01:00,0,sti501
01-01 20:00:00+01:00,0,sti501
01-01 21:00:00+01:00,0,sti533
01-01 22:00:00+01:00,0,sti275
01-01 23:00:00+01:00,0,sti102
01-02 00:00:00+01:00,0,sti727
01-02 01:00:00+01:00,1,sti727
01-02 02:00:00+01:00,0,sti727
01-02 03:00:00+01:00,0,sti727
01-02 04:00:00+01:00,0,sti102
01-02 05:00:00+01:00,0,sti533
01-02 06:00:00+01:00,1,sti501
01-02 07:00:00+01:00,0,stp64
01-02 08:00:00+01:00,0,stp51
01-02 09:00:00+01:00,0,stp51
01-02 10:00:00+01:00,0,stp26
01-02 11:00:00+01:00,0,stp85
01-02 12:00:00+01:00,0,stp85
01-02 13:00:00+01:00,0,stp85
01-02 14:00:00+01:00,1,stp85
01-02 15:00:00+01:00,0,stp26
01-02 16:00:00+01:00,0,stp74
01-02 17:00:00+01:00,0,stp53
01-02 18:00:00+01:00,0,stp91
01-02 19:00:00+01:00,0,stp91
01-02 20:00:00+01:00,0,stp78
01-02 21:00:00+01:00,0,stp19
01-02 22:00:00+01:00,0,stp70
01-02 23:00:00+01:00,1,sti122
01-03 00:00:00+01:00,0,sti665
01-03 01:00:00+01:00,0,sti665
01-03 02:00:00+01:00,0,sti275
01-03 03:00:00+01:00,0,sti275
01-03 04:00:00+01:00,0,sti533
01-03 05:00:00+01:00,0,sti501
01-03 06:00:00+01:00,0,stp64
01-03 07:00:00+01:00,0,stp51
01-03 08:00:00+01:00,0,stp16
01-03 09:00:00+01:00,0,stp77
01-03 10:00:00+01:00,1,stp96
01-03 11:00:00+01:00,0,stp57
