Period,Scenario,LoadLevel,Unit,p.u.
2030,sc01,01-02 12:00:00+01:00,OCGT_3,0.0
2030,sc01,01-02 12:00:00+01:00,CCGT_4,0.0
2030,sc01,01-02 12:00:00+01:00,CCGT_3,0.0
2030,sc01,01-02 12:00:00+01:00,OCGT_2,0.0
2030,sc01,01-02 12:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-02 12:00:00+01:00,BrownLignite,0.0
2030,sc01,01-02 12:00:00+01:00,CCGT_2,0.0
2030,sc01,01-02 12:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-02 12:00:00+01:00,Nuclear,0.0
2030,sc01,01-02 12:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-02 12:00:00+01:00,CCGT_1,0.0
2030,sc01,01-02 12:00:00+01:00,OCGT_1,0.0
2030,sc01,01-02 12:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-07 20:00:00+01:00,OCGT_3,0.0
2030,sc01,01-07 20:00:00+01:00,CCGT_4,0.2372608215161055
2030,sc01,01-07 20:00:00+01:00,CCGT_3,0.0
2030,sc01,01-07 20:00:00+01:00,OCGT_2,0.0
2030,sc01,01-07 20:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-07 20:00:00+01:00,BrownLignite,0.0
2030,sc01,01-07 20:00:00+01:00,CCGT_2,0.15501680601999906
2030,sc01,01-07 20:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-07 20:00:00+01:00,Nuclear,1.0
2030,sc01,01-07 20:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-07 20:00:00+01:00,CCGT_1,0.0
2030,sc01,01-07 20:00:00+01:00,OCGT_1,0.0
2030,sc01,01-07 20:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-08 12:00:00+01:00,OCGT_3,0.0
2030,sc01,01-08 12:00:00+01:00,CCGT_4,0.0
2030,sc01,01-08 12:00:00+01:00,CCGT_3,0.0
2030,sc01,01-08 12:00:00+01:00,OCGT_2,0.0
