Period,Scenario,LoadLevel,Unit,MW
2030,sc01,01-16 07:00:00+01:00,113_PV_1,0.0
2030,sc01,01-16 07:00:00+01:00,118_RTPV_4,0.0
2030,sc01,01-16 07:00:00+01:00,119_PV_1,0.0
2030,sc01,01-16 07:00:00+01:00,118_RTPV_3,0.0
2030,sc01,01-16 07:00:00+01:00,102_PV_2,0.0
2030,sc01,01-16 07:00:00+01:00,118_RTPV_7,0.0
2030,sc01,01-16 07:00:00+01:00,102_PV_1,0.0
2030,sc01,01-16 07:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-16 07:00:00+01:00,118_RTPV_1,0.0
2030,sc01,01-16 07:00:00+01:00,118_RTPV_6,0.0
2030,sc01,01-16 07:00:00+01:00,118_RTPV_2,0.0
2030,sc01,01-16 07:00:00+01:00,101_PV_3,0.0
2030,sc01,01-16 07:00:00+01:00,101_PV_4,0.0
2030,sc01,01-16 07:00:00+01:00,122_WIND_1,1178.9910724530894
2030,sc01,01-16 07:00:00+01:00,101_PV_2,0.0
2030,sc01,01-16 07:00:00+01:00,101_PV_1,0.0
2030,sc01,01-16 07:00:00+01:00,104_PV_1,0.0
2030,sc01,01-16 07:00:00+01:00,118_RTPV_10,0.0
2030,sc01,01-16 07:00:00+01:00,103_PV_1,0.0
2030,sc01,01-16 07:00:00+01:00,118_RTPV_8,0.0
2030,sc01,01-16 07:00:00+01:00,118_RTPV_9,0.0
2030,sc01,01-16 18:00:00+01:00,113_PV_1,0.0
2030,sc01,01-16 18:00:00+01:00,118_RTPV_4,0.0
2030,sc01,01-16 18:00:00+01:00,119_PV_1,0.0
2030,sc01,01-16 18:00:00+01:00,118_RTPV_3,0.0
2030,sc01,01-16 18:00:00+01:00,102_PV_2,0.0
2030,sc01,01-16 18:00:00+01:00,118_RTPV_7,0.0
2030,sc01,01-16 18:00:00+01:00,102_PV_1,0.0
2030,sc01,01-16 18:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-16 18:00:00+01:00,118_RTPV_1,0.0
2030,sc01,01-16 18:00:00+01:00,118_RTPV_6,0.0
2030,sc01,01-16 18:00:00+01:00,118_RTPV_2,0.0
2030,sc01,01-16 18:00:00+01:00,101_PV_3,0.0
2030,sc01,01-16 18:00:00+01:00,101_PV_4,0.0
2030,sc01,01-16 18:00:00+01:00,122_WIND_1,1778.8788274598353
2030,sc01,01-16 18:00:00+01:00,101_PV_2,0.0
2030,sc01,01-16 18:00:00+01:00,101_PV_1,0.0
2030,sc01,01-16 18:00:00+01:00,104_PV_1,0.0
2030,sc01,01-16 18:00:00+01:00,118_RTPV_10,0.0
2030,sc01,01-16 18:00:00+01:00,103_PV_1,0.0
2030,sc01,01-16 18:00:00+01:00,118_RTPV_8,0.0
2030,sc01,01-16 18:00:00+01:00,118_RTPV_9,0.0
2030,sc01,01-16 19:00:00+01:00,113_PV_1,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_4,0.0
2030,sc01,01-16 19:00:00+01:00,119_PV_1,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_3,0.0
2030,sc01,01-16 19:00:00+01:00,102_PV_2,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_7,0.0
2030,sc01,01-16 19:00:00+01:00,102_PV_1,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_1,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_6,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_2,0.0
2030,sc01,01-16 19:00:00+01:00,101_PV_3,0.0
2030,sc01,01-16 19:00:00+01:00,101_PV_4,0.0
2030,sc01,01-16 19:00:00+01:00,122_WIND_1,1679.5542806836243
2030,sc01,01-16 19:00:00+01:00,101_PV_2,0.0
2030,sc01,01-16 19:00:00+01:00,101_PV_1,0.0
2030,sc01,01-16 19:00:00+01:00,104_PV_1,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_10,0.0
2030,sc01,01-16 19:00:00+01:00,103_PV_1,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_8,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_9,0.0
2030,sc01,01-16 20:00:00+01:00,113_PV_1,0.0
2030,sc01,01-16 20:00:00+01:00,118_RTPV_4,0.0
2030,sc01,01-16 20:00:00+01:00,119_PV_1,0.0
2030,sc01,01-16 20:00:00+01:00,118_RTPV_3,0.0
2030,sc01,01-16 20:00:00+01:00,102_PV_2,0.0
2030,sc01,01-16 20:00:00+01:00,118_RTPV_7,0.0
2030,sc01,01-16 20:00:00+01:00,102_PV_1,0.0
2030,sc01,01-16 20:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-16 20:00:00+01:00,118_RTPV_1,0.0
2030,sc01,01-16 20:00:00+01:00,118_RTPV_6,0.0
2030,sc01,01-16 20:00:00+01:00,118_RTPV_2,0.0
2030,sc01,01-16 20:00:00+01:00,101_PV_3,0.0
2030,sc01,01-16 20:00:00+01:00,101_PV_4,0.0
2030,sc01,01-16 20:00:00+01:00,122_WIND_1,1534.3197876862255
2030,sc01,01-16 20:00:00+01:00,101_PV_2,0.0
2030,sc01,01-16 20:00:00+01:00,101_PV_1,0.0
2030,sc01,01-16 20:00:00+01:00,104_PV_1,0.0
2030,sc01,01-16 20:00:00+01:00,118_RTPV_10,0.0
2030,sc01,01-16 20:00:00+01:00,103_PV_1,0.0
2030,sc01,01-16 20:00:00+01:00,118_RTPV_8,0.0
2030,sc01,01-16 20:00:00+01:00,118_RTPV_9,0.0
2030,sc01,01-18 03:00:00+01:00,113_PV_1,0.0
2030,sc01,01-18 03:00:00+01:00,118_RTPV_4,0.0
2030,sc01,01-18 03:00:00+01:00,119_PV_1,0.0
2030,sc01,01-18 03:00:00+01:00,118_RTPV_3,0.0
2030,sc01,01-18 03:00:00+01:00,102_PV_2,0.0
2030,sc01,01-18 03:00:00+01:00,118_RTPV_7,0.0
2030,sc01,01-18 03:00:00+01:00,102_PV_1,88.6252603379999
2030,sc01,01-18 03:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-18 03:00:00+01:00,118_RTPV_1,0.0
2030,sc01,01-18 03:00:00+01:00,118_RTPV_6,0.0
2030,sc01,01-18 03:00:00+01:00,118_RTPV_2,0.0
2030,sc01,01-18 03:00:00+01:00,101_PV_3,0.0
2030,sc01,01-18 03:00:00+01:00,101_PV_4,0.0
2030,sc01,01-18 03:00:00+01:00,122_WIND_1,403.61038240000005
2030,sc01,01-18 03:00:00+01:00,101_PV_2,0.0
2030,sc01,01-18 03:00:00+01:00,101_PV_1,0.0
2030,sc01,01-18 03:00:00+01:00,104_PV_1,0.05565942
