Period,Scenario,LoadLevel,Node,SRMC
2030,sc01,02-02 20:00:00+01:00,N_112,1.0133462532386943
2030,sc01,02-02 20:00:00+01:00,N_106,1.0133462532386952
2030,sc01,02-02 20:00:00+01:00,N_121,1.0133462532386985
2030,sc01,02-02 20:00:00+01:00,N_123,1.013346253238698
2030,sc01,02-02 20:00:00+01:00,N_124,1.0133462532386956
2030,sc01,02-02 20:00:00+01:00,N_109,1.0133462532386959
2030,sc01,02-02 20:00:00+01:00,N_116,1.013346253238698
2030,sc01,02-02 20:00:00+01:00,N_118,1.0133462532386985
2030,sc01,02-02 20:00:00+01:00,N_107,1.0133462532386952
2030,sc01,02-02 20:00:00+01:00,N_113,1.0133462532386923
2030,sc01,02-02 20:00:00+01:00,N_117,1.0133462532386985
2030,sc01,02-02 20:00:00+01:00,N_104,1.0133462532386959
2030,sc01,02-02 20:00:00+01:00,N_101,1.0133462532386956
2030,sc01,02-02 20:00:00+01:00,N_114,1.013346253238698
2030,sc01,02-02 20:00:00+01:00,N_110,1.0133462532386952
2030,sc01,02-02 20:00:00+01:00,N_103,1.0133462532386956
2030,sc01,02-02 20:00:00+01:00,N_111,1.0133462532386952
2030,sc01,02-02 20:00:00+01:00,N_115,1.0133462532386956
2030,sc01,02-02 20:00:00+01:00,N_119,1.013346253238698
2030,sc01,02-02 20:00:00+01:00,N_120,1.013346253238698
2030,sc01,02-02 20:00:00+01:00,N_108,1.0133462532386952
2030,sc01,02-02 20:00:00+01:00,N_122,1.0133462532386985
2030,sc01,02-02 20:00:00+01:00,N_102,1.0133462532386956
2030,sc01,02-02 20:00:00+01:00,N_105,1.0133462532386952
2030,sc01,02-02 21:00:00+01:00,N_112,1.0133462532387039
2030,sc01,02-02 21:00:00+01:00,N_106,1.0133462532387016
2030,sc01,02-02 21:00:00+01:00,N_121,1.0133462532386985
2030,sc01,02-02 21:00:00+01:00,N_123,1.0133462532386994
2030,sc01,02-02 21:00:00+01:00,N_124,1.0133462532387016
2030,sc01,02-02 21:00:00+01:00,N_109,1.0133462532387016
2030,sc01,02-02 21:00:00+01:00,N_116,1.0133462532386994
2030,sc01,02-02 21:00:00+01:00,N_118,1.0133462532386985
2030,sc01,02-02 21:00:00+01:00,N_107,1.0133462532387016
2030,sc01,02-02 21:00:00+01:00,N_113,1.0133462532387063
2030,sc01,02-02 21:00:00+01:00,N_117,1.0133462532386985
2030,sc01,02-02 21:00:00+01:00,N_104,1.0133462532387016
